,0
member_1,139495.29116296227
member_3,21384.163929406415
member_4,113339.92406990683
member_6,15938.056803147472
member_7,114041.43854730795
member_8,0.0
member_9,17745.903694470566
member_10,4048.9705722167537
member_11,129893.85807018311
member_12,131157.2354533498
member_13,73546.65491209725
member_14,4807.730514753553
member_15,127255.96283596459
member_16,0.0
member_17,6853.96482404831
member_18,129771.2271312471
member_19,14470.84138016756
member_20,0.0
member_21,55956.14231005835
member_22,74882.28352047357
member_23,137751.91809807793
member_24,100.39186050788899
member_25,5469.4273061571375
