,0
member_1,27930.603103825033
member_3,2333.0504209812275
member_4,27.359134674020847
member_6,5914.846581618956
member_7,76259.63254351106
member_8,0.0
member_9,10227.749694004351
member_10,1378.8579236585495
member_11,6730.484077736288
member_12,42430.79331349001
member_13,30141.89314734064
member_14,1754.8433753767347
member_15,42830.298505846644
member_16,0.0
member_17,1796.8701557335305
member_18,22321.144307165177
member_19,7352.112413115828
member_20,0.0
member_21,11614.386161261553
member_22,8705.649818089327
member_23,47391.264277966766
member_24,1.115260320239214
member_25,2684.401985674053
