,0
member_1,112294.54740081404
member_3,25136.955942509492
member_4,1440684.9188353135
member_6,7241.753131850539
member_7,3896.6820946205958
member_8,12388.044740975118
member_9,790.5441090333861
member_10,3870.133292620516
member_11,735741.6971923611
member_12,50419.86529252146
member_13,22712.1153253483
member_14,937.2285966059655
member_15,61598.12745390827
member_16,3528.1820000000034
member_17,6079.955021338703
member_18,203583.27764991988
member_19,1291.8500129447104
member_20,188262.7768328487
member_21,40616.38156688114
member_22,120628.55688133469
member_23,93537.53006357828
member_24,3620.162333309484
member_25,1213.2469941392062
