,p,b
member_1,1.5,0.5
member_3,1.5,0.5
member_4,1.5,0.5
member_6,1.5,0.5
member_7,1.5,0.5
member_8,1.5,0.5
member_9,1.5,0.5
member_10,1.5,0.5
member_11,1.5,0.5
member_12,1.5,0.5
member_13,1.5,0.5
member_14,1.5,0.5
member_15,1.5,0.5
member_16,1.5,0.5
member_17,1.5,0.5
member_18,1.5,0.5
member_19,1.5,0.5
member_20,1.5,0.5
member_21,1.5,0.5
member_22,1.5,0.5
member_23,1.5,0.5
member_24,1.5,0.5
member_25,1.5,0.5
