,p,b
member_1,1300,300
member_3,1300,300
member_4,1300,300
member_6,1300,300
member_7,1300,300
member_8,1300,300
member_9,1300,300
member_10,1300,300
member_11,1300,300
member_12,1300,300
member_13,1300,300
member_14,1300,300
member_15,1300,300
member_16,1300,300
member_17,1300,300
member_18,1300,300
member_19,1300,300
member_20,1300,300
member_21,1300,300
member_22,1300,300
member_23,1300,300
member_24,1300,300
member_25,1300,300
